link_id,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23
100172_100173,35.94,42.19,33.77,34.81,31.39,26.11,21.24,17.71,13.78,21.38,10.57,10.62,15.29,14.25,24.2,26.06,27.71,32.07,35.92,33.23,36.63,36.03,36.71,38.99
100172_100182,41.59,36.49,29.17,32.51,27.44,25.67,11.96,17.03,19.0,13.78,13.28,10.0,10.0,16.4,14.63,18.69,21.13,23.17,27.48,35.89,38.69,32.05,39.84,33.87
100173_100174,33.82,37.59,30.21,23.69,30.37,28.63,14.98,19.76,12.66,10.0,12.95,10.72,11.59,13.76,13.34,19.72,20.33,18.59,25.59,27.7,23.05,39.86,34.5,36.03
100173_100183,31.83,35.39,28.81,31.57,31.4,22.14,16.34,15.44,18.82,17.28,17.16,12.52,16.28,21.8,19.77,23.93,23.0,29.69,26.39,34.98,30.6,32.96,33.52,31.54
100174_100175,42.67,35.89,34.08,29.96,32.64,21.1,24.94,14.77,19.72,13.49,10.0,11.96,12.54,18.56,16.02,17.39,22.52,28.08,32.04,34.11,32.01,36.57,36.41,35.09
100174_100184,48.76,43.17,39.63,37.66,35.82,33.64,25.14,22.13,21.87,15.08,14.8,14.81,19.27,19.42,21.92,24.93,32.34,28.48,38.53,38.02,43.33,46.19,43.93,49.5
100175_100176,38.35,38.42,28.13,32.67,28.46,22.65,25.24,13.15,16.76,10.75,15.09,15.56,14.35,18.38,22.05,20.06,25.61,25.77,35.57,30.85,36.9,34.02,31.77,38.24
100175_100185,36.01,27.55,27.61,24.23,21.48,19.47,14.38,11.29,10.29,10.0,10.0,10.0,10.0,12.16,13.22,18.68,15.81,27.75,26.83,34.72,31.01,28.13,27.32,35.49
100176_100177,38.82,42.2,32.77,37.01,38.18,32.87,21.08,20.59,23.89,27.05,19.22,15.0,20.6,17.17,15.61,21.71,29.74,25.97,34.64,47.75,41.67,42.16,45.03,40.79
100176_100186,32.9,35.83,36.44,34.32,30.41,23.75,30.36,23.84,18.08,13.22,17.23,19.71,10.0,16.5,18.5,27.06,31.32,27.02,37.57,36.13,40.29,31.6,39.67,40.74
100177_100178,36.13,39.51,33.83,33.69,32.8,32.72,20.11,21.82,23.0,17.91,13.08,18.65,22.2,16.86,23.14,23.16,22.17,32.94,32.66,35.84,37.31,41.43,42.82,34.27
100177_100187,41.98,41.09,38.18,35.33,32.57,32.05,27.06,19.62,14.04,17.71,15.78,16.43,13.53,19.78,17.25,25.9,23.58,31.8,35.72,39.87,37.98,44.41,45.71,45.65
100178_100179,33.75,29.59,35.56,27.88,28.53,15.68,16.17,14.92,13.13,18.62,15.15,10.0,10.12,18.64,21.6,19.15,19.12,24.47,30.34,35.97,30.49,39.92,37.11,33.93
100178_100188,28.03,31.6,32.17,27.22,30.39,27.02,12.7,11.73,16.26,10.0,14.94,14.54,16.68,15.49,15.28,19.15,19.7,24.34,25.3,28.22,38.13,36.25,32.17,34.04
100179_100180,32.05,25.27,32.17,30.91,30.56,21.64,16.0,10.0,10.81,17.18,10.0,11.69,10.67,15.16,16.88,21.15,19.3,20.85,26.92,21.82,30.04,31.41,34.46,40.28
100179_100189,36.35,37.54,34.2,28.81,34.86,29.07,16.49,23.14,25.96,14.25,13.17,10.0,12.66,18.48,18.13,24.16,24.31,30.17,32.71,33.25,33.17,39.41,35.34,37.04
100180_100190,55.55,53.55,50.03,48.12,37.43,41.21,32.22,29.32,24.01,26.0,22.79,21.43,22.5,26.79,26.53,34.11,36.39,39.02,45.87,51.78,45.24,52.01,53.29,49.32
100181_100182,28.93,33.75,28.51,35.81,33.82,22.47,27.1,20.46,11.75,16.25,13.13,12.96,15.48,16.49,23.41,17.45,25.53,29.25,27.24,34.09,35.08,35.14,37.87,40.56
100181_100191,45.43,42.8,40.79,35.65,35.58,27.72,25.57,14.69,16.71,15.82,16.31,15.05,13.25,15.99,21.32,22.33,28.22,34.49,38.56,39.76,44.49,43.25,42.04,43.9
100182_100183,25.02,24.53,25.25,24.9,25.56,19.86,25.38,15.34,15.36,12.33,10.0,10.0,11.9,16.14,20.02,23.15,20.13,23.35,23.23,32.96,34.49,33.48,36.67,32.31
100182_100192,33.38,34.07,34.29,33.58,22.13,20.41,17.98,18.07,15.34,10.0,10.13,13.8,18.04,11.97,14.57,28.31,18.95,34.21,24.81,32.48,30.21,34.71,39.08,32.95
100183_100184,33.88,32.04,33.78,32.18,21.4,25.86,24.52,16.48,18.6,15.73,11.81,15.51,15.26,14.62,15.17,20.75,24.6,25.44,27.7,37.1,33.9,32.97,38.61,37.29
100183_100193,31.78,32.11,31.59,35.41,26.4,25.67,24.4,17.26,10.99,13.85,10.0,10.0,12.26,11.67,14.54,20.19,28.46,25.01,24.9,36.72,35.64,37.31,30.4,40.15
100184_100185,32.95,37.41,31.68,32.05,21.56,29.69,22.84,17.67,16.99,17.17,12.08,10.68,14.6,12.59,12.87,19.95,17.89,31.83,35.24,36.82,35.42,36.37,39.08,34.73
100184_100194,46.45,42.76,38.73,38.25,37.95,30.17,28.54,22.28,20.81,16.06,18.69,16.3,18.26,19.12,26.53,27.04,29.25,31.27,35.33,41.88,43.52,45.36,46.65,47.25
100185_100186,37.76,35.24,26.53,30.48,21.83,24.18,15.64,15.12,13.52,11.39,17.49,14.55,12.93,12.91,17.32,15.21,19.47,21.82,37.36,28.47,28.53,29.04,30.0,30.66
100185_100195,33.44,35.97,31.41,30.73,28.68,27.5,21.57,19.26,15.18,14.04,16.88,21.52,19.24,23.36,20.43,15.57,26.1,21.63,28.8,36.48,33.44,25.86,35.82,46.34
100186_100187,26.81,29.13,32.74,25.17,22.07,19.63,16.84,10.2,16.75,10.0,10.0,10.0,10.0,18.1,14.78,18.8,17.68,24.08,25.83,28.36,24.47,29.93,30.69,32.35
100186_100196,37.96,33.8,37.43,26.37,29.16,28.9,26.81,24.04,16.17,17.73,10.0,22.64,10.0,16.95,18.46,19.75,20.42,32.9,29.8,37.7,40.88,37.51,44.34,41.4
100187_100188,32.18,34.45,28.63,24.96,18.16,23.4,22.5,13.96,11.67,12.82,13.75,13.64,10.0,17.68,10.0,20.57,21.23,24.15,25.04,32.47,37.87,31.58,32.26,35.67
100187_100197,48.9,45.68,43.48,38.42,38.05,31.64,26.86,19.71,20.18,13.81,17.5,17.42,14.88,18.29,25.48,26.76,30.31,30.9,37.48,38.66,41.93,44.26,41.91,46.35
100188_100189,38.23,33.27,35.49,28.67,20.15,23.42,20.49,15.62,12.92,11.21,18.25,14.08,19.67,14.17,20.28,24.44,27.18,25.4,24.39,36.82,28.86,39.31,34.46,32.61
100188_100198,39.18,32.29,29.46,26.86,29.26,27.66,19.25,21.32,16.35,10.65,10.21,10.0,21.19,14.13,21.22,18.57,28.31,32.43,31.29,31.91,28.96,32.95,34.92,34.53
100189_100190,41.17,39.45,29.4,28.07,27.93,21.24,14.16,16.63,11.79,21.04,11.82,13.37,14.91,17.7,15.96,13.36,20.06,24.67,22.0,33.52,29.26,36.31,36.18,38.54
100189_100199,34.99,32.83,36.53,32.99,30.18,23.92,21.5,11.04,10.0,11.8,13.1,10.0,11.35,14.03,15.95,15.3,23.82,28.59,32.38,34.02,38.36,27.56,41.66,40.37
100190_100200,54.58,52.94,50.06,45.91,42.08,39.71,28.89,30.84,22.44,23.82,21.03,22.56,22.74,25.73,31.17,35.87,37.4,41.47,45.32,44.58,49.51,55.91,55.12,56.85
100191_100192,46.89,44.89,46.9,40.68,38.03,30.84,27.98,26.67,21.21,17.02,17.86,15.72,14.77,21.85,23.74,27.59,30.28,35.95,43.59,41.57,42.9,45.62,40.74,47.74
100192_100193,48.78,48.9,49.03,43.16,40.17,32.36,27.71,23.28,20.93,18.77,18.08,21.75,21.14,22.73,27.85,28.83,33.31,34.15,42.84,40.55,49.27,47.22,50.39,47.06
100193_100194,49.77,47.8,47.99,43.83,43.67,39.83,32.54,27.05,26.8,23.45,23.99,22.77,24.21,24.66,28.91,29.81,40.24,42.67,49.51,47.09,46.57,49.59,55.52,55.04
100194_100195,52.68,47.5,47.37,42.96,38.22,35.25,30.57,26.05,17.04,20.51,21.72,20.71,18.81,22.43,25.42,27.11,31.1,39.98,39.87,45.24,49.67,45.94,47.57,52.94
100195_100196,44.74,40.13,45.48,37.26,38.32,28.92,25.23,20.06,19.56,13.52,17.42,12.55,15.56,19.35,23.01,26.67,32.03,32.23,38.57,40.28,42.86,44.43,46.64,42.28
100196_100197,45.77,48.7,46.66,38.9,38.8,32.62,29.13,27.1,19.98,20.55,16.72,18.08,17.97,19.45,26.77,26.52,32.04,34.74,42.34,40.85,47.54,45.78,49.6,50.81
100197_100198,55.13,50.5,46.03,48.39,43.87,38.31,34.57,27.74,25.35,27.88,25.18,21.18,22.92,26.6,25.83,29.6,33.43,42.18,45.91,44.96,46.06,50.54,53.39,55.38
100198_100199,55.55,48.86,50.9,46.05,45.92,39.19,33.83,30.49,25.49,21.75,21.41,19.04,23.6,24.63,30.62,30.41,36.33,42.45,47.28,46.91,47.73,49.34,50.75,53.88
100199_100200,48.6,45.49,49.34,42.46,38.52,35.59,30.69,22.43,23.99,19.27,14.59,17.56,21.61,20.85,25.19,27.72,33.96,37.43,40.35,41.91,46.31,51.73,48.97,52.58
